V,V_s,V_p
0,0.0021,0.0312
0.05,0.0017,0.0292
0.1,0.0014,0.0274
0.15,0.0011,0.0255
0.2,0.0009,0.0243
0.25,0.0006,0.0233
0.3,0.0004,0.0226
0.35,0.0003,0.022
0.4,0.0002,0.0216
